budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.shotgunstories.com/,12247,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 5521, ""name"": ""arkansas""}]",en,Shotgun Stories,"Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these brothers discover the lengths to which each will go to protect their family.",5.251143,"[{""name"": ""Upload Films"", ""id"": 6724}, {""name"": ""Muskat Filmed Properties"", ""id"": 10989}, {""name"": ""A Lucky Old Sun Production"", ""id"": 19148}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-10-01,0,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Two families. One feud. No going back.,Shotgun Stories,6.9,57
72000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}]",,2675,"[{""id"": 1715, ""name"": ""symbolism""}, {""id"": 4237, ""name"": ""water""}, {""id"": 4932, ""name"": ""farm""}, {""id"": 6150, ""name"": ""faith""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 11004, ""name"": ""rural setting""}, {""id"": 14909, ""name"": ""alien invasion""}, {""id"": 18255, ""name"": ""rural""}, {""id"": 167642, ""name"": ""crop circle""}, {""id"": 192962, ""name"": ""alien attack""}, {""id"": 223213, ""name"": ""rural pennsylvania""}, {""id"": 223471, ""name"": ""rural america""}, {""id"": 228280, ""name"": ""rural farm""}, {""id"": 228753, ""name"": ""loss of faith""}, {""id"": 229652, ""name"": ""alien encounter""}]",en,Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,28.848187,"[{""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-08-02,408247917,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,It’s not like they didn’t warn us.,Signs,6.4,1599
6500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",,1116,"[{""id"": 212, ""name"": ""london england""}, {""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 392, ""name"": ""england""}, {""id"": 393, ""name"": ""civil war""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 1008, ""name"": ""guerrilla""}, {""id"": 1208, ""name"": ""irland""}, {""id"": 1353, ""name"": ""underground""}, {""id"": 1756, ""name"": ""opression""}, {""id"": 2052, ""name"": ""traitor""}, {""id"": 3070, ""name"": ""mercenary""}, {""id"": 4097, ""name"": ""independence""}, {""id"": 4100, ""name"": ""british army""}, {""id"": 4729, ""name"": ""dublin""}, {""id"": 4730, ""name"": ""irish civil war""}, {""id"": 6057, ""name"": ""peace""}, {""id"": 6110, ""name"": ""weapon""}, {""id"": 12579, ""name"": ""irish republican army""}, {""id"": 15202, ""name"": ""rural ireland""}, {""id"": 158217, ""name"": ""colonialism""}]",en,The Wind That Shakes the Barley,"Set during the 1920’s Irish revolution against the British, an Irish medical student is about to start his new job in London – but after he witnesses the mercenary atrocities of the British, he decides to join his brother in the IRA to fight for Irish independence.",6.787967,"[{""name"": ""BIM Distribuzione"", ""id"": 225}, {""name"": ""Matador Pictures"", ""id"": 707}, {""name"": ""Diaphana Films"", ""id"": 744}, {""name"": ""B\u00f3rd Scann\u00e1n na h\u00c9ireann"", ""id"": 1898}, {""name"": ""Element Films"", ""id"": 2274}, {""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""Path\u00e9 Distribution"", ""id"": 3012}, {""name"": ""Irish Film Board"", ""id"": 5267}, {""name"": ""Tornasol Films"", ""id"": 7680}, {""name"": ""Sixteen Films"", ""id"": 12695}, {""name"": ""Regent Capital"", ""id"": 12696}, {""name"": ""EMC Produktion"", ""id"": 19929}, {""name"": ""Cin\u00e9art"", ""id"": 19930}, {""name"": ""TV3 Television Network Ireland"", ""id"": 19931}, {""name"": ""Filmcoopi Z\u00fcrich"", ""id"": 19932}, {""name"": ""Oil Flick Films No.2"", ""id"": 19933}]","[{""iso_3166_1"": ""IE"", ""name"": ""Ireland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""ES"", ""name"": ""Spain""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""CH"", ""name"": ""Switzerland""}]",2006-05-18,22889018,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ga"", ""name"": ""Gaeilge""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,Winner of the PALME D'OR at the 2006 Cannes Film Festival.,The Wind That Shakes the Barley,7.1,154
4000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",http://www.tropadeeliteofilme.com.br/,7347,"[{""id"": 100, ""name"": ""slum""}, {""id"": 796, ""name"": ""police brutality""}, {""id"": 983, ""name"": ""brazilian""}, {""id"": 1601, ""name"": ""war on drugs""}, {""id"": 1809, ""name"": ""rio de janeiro""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 2231, ""name"": ""drug dealer""}, {""id"": 7097, ""name"": ""torture by the police""}, {""id"": 15218, ""name"": ""special forces""}, {""id"": 163081, ""name"": ""law enforcement""}]",pt,Tropa de Elite,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",23.604936,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Zazen Produ\u00e7\u00f5es"", ""id"": 2427}, {""name"": ""Est\u00fadios Mega"", ""id"": 2430}, {""name"": ""Quanta Centro de Produ\u00e7\u00f5es Cinematogr\u00e1ficas"", ""id"": 2432}, {""name"": ""Costa Films"", ""id"": 10187}, {""name"": ""Posto 9"", ""id"": 47043}, {""name"": ""Feij\u00e3o Filmes"", ""id"": 47044}, {""name"": ""Universal Pictures do Brasil"", ""id"": 47046}]","[{""iso_3166_1"": ""BR"", ""name"": ""Brazil""}]",2007-10-12,0,115.0,"[{""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,On the streets of Rio only the elite survive,Elite Squad,7.8,504
12500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",http://www.theperfectgamemovie.com,56601,"[{""id"": 1480, ""name"": ""baseball""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 10235, ""name"": ""family relationships""}]",en,The Perfect Game,"Based on a true story, a group of boys from Monterrey, Mexico who become the first non-U.S. team to win the Little League World Series.",0.903529,"[{""name"": ""HighRoad Entertainment"", ""id"": 19901}, {""name"": ""Prelude Pictures"", ""id"": 19902}, {""name"": ""Lone Runner Entertainment"", ""id"": 19903}, {""name"": ""Kenio Films"", ""id"": 19904}, {""name"": ""Perfect Game, The"", ""id"": 19905}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-04-01,3878993,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Dream for the fences.,The Perfect Game,6.3,30
0,"[{""id"": 27, ""name"": ""Horror""}]",,22530,"[{""id"": 3133, ""name"": ""vampire""}, {""id"": 3628, ""name"": ""daywalker""}]",en,Bled,"Sai, a young artist living in a downtown warehouse delves into an ancient world of blood and lust. An enigmatic foreigner seduces her to try a long forgotten drug making her the prey of a dimensional vampire who needs her new found hunger for blood to cross over from his world to hers.",1.039149,[],[],2008-01-01,0,95.0,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Every addiction has its price.,Bled,3.8,4
0,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,18828,"[{""id"": 534, ""name"": ""mexico""}, {""id"": 591, ""name"": ""cia""}, {""id"": 1812, ""name"": ""fbi""}, {""id"": 13008, ""name"": ""train""}]",en,Double Take,"The governor of a Mexican state is assassinated. Soon after, junior executive Daryl Chase's life turns upside down: after he flags a huge transfer of funds from a Mexican account as probably illegal, he's attacked in his apartment, rescued by a CIA agent, finds his secretary shot dead, and witnesses two cops get killed. He calls the CIA guy who tells him to grab the next train to Mexico. Leaving M",1.903405,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-01-12,0,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,One big shot. One big mouth. The switch is on.,Double Take,5.5,24
0,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,27686,"[{""id"": 162843, ""name"": ""state fair""}]",en,State Fair,"During their annual visit to the Iowa State Fair, the Frake family enjoy many adventures. Proud patriarch Abel (Charles Winninger) has high hopes for his champion swine Blueboy; and his wife Melissa (Fay Bainter) enters the mincemeat and pickles contest...with hilarious results.",1.847822,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1945-08-29,0,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,State Fair,6.2,19
55000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",http://www.changelingmovie.net,3580,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 456, ""name"": ""mother""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 3065, ""name"": ""minister""}, {""id"": 3720, ""name"": ""power""}, {""id"": 4740, ""name"": ""public""}, {""id"": 6086, ""name"": ""government""}, {""id"": 6149, ""name"": ""police""}, {""id"": 9824, ""name"": ""reunion""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 184402, ""name"": ""missing""}, {""id"": 199226, ""name"": ""mother love""}, {""id"": 202098, ""name"": ""criticism""}]",en,Changeling,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",27.50916,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Malpaso Productions"", ""id"": 171}, {""name"": ""Relativity Media"", ""id"": 7295}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-01-30,113020255,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"To find her son, she did what no one else dared.",Changeling,7.3,1131
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",,62211,"[{""id"": 1299, ""name"": ""monster""}, {""id"": 5984, ""name"": ""dormitory""}, {""id"": 6186, ""name"": ""games""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 12392, ""name"": ""best friend""}, {""id"": 13160, ""name"": ""university""}, {""id"": 163303, ""name"": ""scary""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Pixar Animation Studios"", ""id"": 3}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-06-20,743559607,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,School never looked this scary.,Monsters University,7.0,3528
