budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
6000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",,13370,"[{""id"": 11800, ""name"": ""mockumentary""}, {""id"": 33534, ""name"": ""folk singer""}]",en,A Mighty Wind,"In ""A Mighty Wind"", director Christopher Guest reunites the team from ""Best In Show"" and ""Waiting for Guffman"" to tell tell the story of 60's-era folk musicians, who inspired by the death of their former manager, get back on the stage for one concert in New York City's Town Hall.",4.053017,"[{""name"": ""Castle Rock Entertainment"", ""id"": 97}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-04-16,18750246,91.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Back together for the first time, again.",A Mighty Wind,6.6,74
50000000,"[{""id"": 53, ""name"": ""Thriller""}]",,12103,"[{""id"": 1227, ""name"": ""cemetery""}, {""id"": 1384, ""name"": ""diamant""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 15106, ""name"": ""psychiatrist""}, {""id"": 15127, ""name"": ""killer""}]",en,Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",11.596207,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Kopelson Entertainment"", ""id"": 824}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Furthur Films"", ""id"": 33433}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-09-28,100020092,113.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,...I'll never tell.,Don't Say a Word,6.0,220
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",,14655,"[{""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Soul Men,"Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-deceased lead singer. Cleo, a beautiful young woman who is believed to be Floyd's daughter, accompanies them as a new singer.",5.483671,"[{""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-11-07,0,103.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Soul Men,6.3,47
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",,19419,[],en,Screwed,"A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped.",5.359381,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}]",[],2000-05-12,0,81.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Screwed,4.9,23
70000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.warnerbros.com/fools-gold,8676,"[{""id"": 720, ""name"": ""helicopter""}, {""id"": 1227, ""name"": ""cemetery""}, {""id"": 1422, ""name"": ""boat""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 1964, ""name"": ""cave""}, {""id"": 2580, ""name"": ""shipwreck""}, {""id"": 3342, ""name"": ""yacht""}, {""id"": 3345, ""name"": ""bahamas""}, {""id"": 3468, ""name"": ""jet ski""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10503, ""name"": ""scuba diving""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14785, ""name"": ""underwater""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 41185, ""name"": ""heiress""}, {""id"": 163758, ""name"": ""ex-husband ex-wife relationship""}, {""id"": 194943, ""name"": ""henchmen""}]",en,Fool's Gold,"Treasure hunter Ben ""Finn"" Finnegan has sunk his marriage to Tess and his trusty boat in his obsessive quest to find the legendary Queen's Dowry. When he finds a vital clue that may finally pinpoint the treasure's whereabouts, he drags Tess and her boss, billionaire Nigel Honeycutt, along on the hunt. But Finn is not the only one interested in the gold; his former mentor-turned-enemy Moe Fitch will stop at nothing to beat him to it.",21.789615,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-02-07,111231041,112.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,This February True Love Takes a Dive.,Fool's Gold,5.4,444
18500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}]",http://the-invention-of-lying.warnerbros.com/,23082,[],en,The Invention of Lying,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",16.665841,"[{""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Lin Pictures"", ""id"": 2723}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Wintergreen Productions"", ""id"": 11845}, {""name"": ""Lynda Obst Productions"", ""id"": 13769}, {""name"": ""1821 Pictures"", ""id"": 14358}, {""name"": ""Radar Pictures"", ""id"": 14718}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-09-13,31912793,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,In a world where everyone can only tell the truth... This guy can lie.,The Invention of Lying,6.0,518
0,"[{""id"": 18, ""name"": ""Drama""}]",,9819,"[{""id"": 1156, ""name"": ""sister sister relationship""}, {""id"": 5923, ""name"": ""sister""}, {""id"": 8097, ""name"": ""leukemia""}, {""id"": 9824, ""name"": ""reunion""}, {""id"": 10163, ""name"": ""cancer""}, {""id"": 185263, ""name"": ""bone marrow transplant""}]",en,Marvin's Room,A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.,6.130231,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Tribeca Productions"", ""id"": 11391}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-12-18,0,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,A story about the years that keep us apart... And the moments that bring us together.,Marvin's Room,6.6,124
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",,1639,"[{""id"": 1422, ""name"": ""boat""}, {""id"": 2799, ""name"": ""cruise""}, {""id"": 6104, ""name"": ""computer""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 33461, ""name"": ""diamond""}, {""id"": 228194, ""name"": ""collision course""}]",en,Speed 2: Cruise Control,Sandra Bullock and Jason Patric star as a young couple whose dream cruise turns to terror when a lunatic computer genius (Willem Dafoe) sets a new course for destruction.,23.336875,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Tulip Productions"", ""id"": 35304}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-06-13,164508066,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,"As the stakes get higher, the ride gets even faster.",Speed 2: Cruise Control,4.1,434
2000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",,95755,[],en,Small Apartments,"When a clumsy deadbeat accidentally kills his landlord, he must do everything in his power to hide the body, only to find that the distractions of lust, the death of his beloved brother, and a crew of misfit characters force him on a journey where a fortune awaits him.",5.100741,"[{""name"": ""Deviant Films"", ""id"": 3265}, {""name"": ""Morocco Junction Pictures"", ""id"": 68079}, {""name"": ""1812 Productions"", ""id"": 68080}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-03-10,0,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Small Apartments,5.7,50
2000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 99, ""name"": ""Documentary""}]",,12228,"[{""id"": 279, ""name"": ""usa""}, {""id"": 1228, ""name"": ""1970s""}, {""id"": 5436, ""name"": ""sexual revolution""}, {""id"": 12420, ""name"": ""unsimulated sex""}]",en,Inside Deep Throat,"In 1972, a seemingly typical shoestring budget pornographic film was made in a Florida hotel, ""Deep Throat,"" starring Linda Lovelace. This film would surpass the wildest expectation of everyone involved to become one of the most successful independent films of all time. It caught the public imagination which met the spirit of the times, even as the self appointed guardians of public morality struggled to suppress it, and created, for a brief moment, a possible future where sexuality in film had a bold artistic potential. This film covers the story of the making of this controversial film, its stunning success, its hysterical opposition along with its dark side of mob influence and allegations of the on set mistreatment of the film's star. In short, the combined events would redefine the popular appeal of pornography, even as more cynical developments would lead it down other paths.",3.980072,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-02-11,653621,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It was filmed in 6 days for 25 thousand dollars. The government didn't want you to see it. It was banned in 23 states. It has grossed over 600 million dollars. And it is the most profitable film in motion picture history.,Inside Deep Throat,6.8,31
120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.speedracerthemovie.warnerbros.com/,7459,"[{""id"": 830, ""name"": ""car race""}, {""id"": 963, ""name"": ""loss of brother""}, {""id"": 2552, ""name"": ""chimp""}, {""id"": 18035, ""name"": ""family""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 187056, ""name"": ""woman director""}]",en,Speed Racer,"Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.",17.060695,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Anarchos Productions"", ""id"": 450}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Velocity Productions"", ""id"": 12170}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-05-09,93945766,135.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Go!,Speed Racer,5.7,354
11000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.hostmovie.com/,1255,"[{""id"": 1261, ""name"": ""river""}, {""id"": 1880, ""name"": ""mobile phone""}, {""id"": 3930, ""name"": ""bravery""}, {""id"": 4393, ""name"": ""archer""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 6304, ""name"": ""sewerage""}, {""id"": 6305, ""name"": ""pollution""}, {""id"": 6617, ""name"": ""formaldehyde""}, {""id"": 6618, ""name"": ""snack bar""}, {""id"": 18035, ""name"": ""family""}]",ko,괴물,"Gang-du is a dim-witted man working at his father's tiny snack bar near the Han River. One day, Gang-du's one and only daughter Hyun-seo comes back from school irritated. She is angry at her uncle, Nam-il, who visited her school as her guardian shamelessly drunk. Ignoring her father's excuses for Nam-il, Hyun-seo is soon engrossed in her aunt Nam-joo's archery tournament on TV. Meanwhile, outside of the snack bar, people are fascinated by an unidentified object hanging onto a bridge. In an instant, the object reveals itself as a terrifying creature turning the riverbank into a gruesome sea of blood¡¦ Amid the chaos, Hyun-seo is helplessly snatched up by the creature right before Gang-du's eyes. These unforeseen circumstances render the government powerless to act. But receiving a call of help from Hyun-seo, the once-ordinary citizen Gang-du and his family are thrust into a battle with the monster to rescue their beloved Hyun-seo.",27.65527,"[{""name"": ""Cineclick Asia"", ""id"": 685}, {""name"": ""Happinet Pictures"", ""id"": 822}, {""name"": ""Cheongeoram"", ""id"": 945}, {""name"": ""CJ Capital Investment"", ""id"": 946}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]",2006-07-27,88489643,119.0,"[{""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,Monsters are real.,The Host,6.7,537
