budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
5000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,10072,"[{""id"": 2655, ""name"": ""group therapy""}, {""id"": 3030, ""name"": ""nightmare""}, {""id"": 3363, ""name"": ""hypnosis""}, {""id"": 18029, ""name"": ""trapped""}, {""id"": 33457, ""name"": ""alcoholic""}, {""id"": 41329, ""name"": ""mental illness""}, {""id"": 161207, ""name"": ""catholicism""}, {""id"": 170383, ""name"": ""disfigurement""}, {""id"": 179878, ""name"": ""sleepwalking""}, {""id"": 190007, ""name"": ""mental hospital""}, {""id"": 203360, ""name"": ""psychotherapist""}, {""id"": 225209, ""name"": ""dreams""}]",en,A Nightmare on Elm Street 3: Dream Warriors,"It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide.",17.304055,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Smart Egg Pictures"", ""id"": 1531}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1987-02-27,44793222,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"If you think you're ready for Freddy, think again!",A Nightmare on Elm Street 3: Dream Warriors,6.5,354
5000000,"[{""id"": 27, ""name"": ""Horror""}]",http://www.paranormalmovie.com/,72571,"[{""id"": 616, ""name"": ""witch""}, {""id"": 1156, ""name"": ""sister sister relationship""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9675, ""name"": ""prequel""}, {""id"": 10224, ""name"": ""haunting""}, {""id"": 163053, ""name"": ""found footage""}]",en,Paranormal Activity 3,"In 1988, evil begins to terrorize young sisters Katie and Kristi for the first time when an invisible entity resides in their home.",29.15813,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""Room 101"", ""id"": 6302}, {""name"": ""Solana Films"", ""id"": 21223}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-10-19,205703818,83.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It Runs In The Family,Paranormal Activity 3,5.9,669
35000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://disney.go.com/disneypictures/skyhigh/,11459,"[{""id"": 1701, ""name"": ""hero""}, {""id"": 1797, ""name"": ""loyalty""}, {""id"": 2422, ""name"": ""mockery""}, {""id"": 4769, ""name"": ""supernatural powers""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 213104, ""name"": ""teen superheroes""}]",en,Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",11.041659,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Gunn Films"", ""id"": 3538}, {""name"": ""Max Stronghold Productions Inc."", ""id"": 56980}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-07-29,86369815,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Saving The World... One Homework Assignment At A Time.,Sky High,5.8,550
41000000,"[{""id"": 35, ""name"": ""Comedy""}]",http://www.iloveyouman.com/,16538,"[{""id"": 383, ""name"": ""poker""}, {""id"": 910, ""name"": ""bondage""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,"I Love You, Man","Peter Klaven is a successful real estate agent who, upon getting engaged to the woman of his dreams, Zooey, discovers, to his dismay and chagrin, that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation, embarking on a series of bizarre and awkward ""man-dates.""",25.391899,"[{""name"": ""The Montecito Picture Company"", ""id"": 2364}, {""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Bernard Gayle Productions"", ""id"": 3194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-03-20,91636986,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He needed a best man... He got the worst.,"I Love You, Man",6.5,515
144000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}]",http://www.ghostbusters.com/,43074,"[{""id"": 5248, ""name"": ""female friendship""}, {""id"": 15040, ""name"": ""ghost hunting""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 162846, ""name"": ""ghost""}]",en,Ghostbusters,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",66.21806,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Montecito Picture Company, The"", ""id"": 4607}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Feigco Entertainment"", ""id"": 61791}, {""name"": ""Pascal Pictures"", ""id"": 84041}, {""name"": ""Ghostcorps"", ""id"": 84042}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-07-14,229147509,116.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Who You Gonna Call?,Ghostbusters,5.3,2142
34000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,26602,"[{""id"": 966, ""name"": ""beach""}, {""id"": 1480, ""name"": ""baseball""}, {""id"": 6075, ""name"": ""sport""}, {""id"": 7984, ""name"": ""bikini""}, {""id"": 8508, ""name"": ""party""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9840, ""name"": ""romance""}, {""id"": 10499, ""name"": ""pool""}, {""id"": 13088, ""name"": ""summer""}, {""id"": 187844, ""name"": ""flashback""}]",en,Summer Catch,"A coming-of-age romantic comedy set against the backdrop of the Cape Cod Baseball League. Local boy Ryan Dunne (Freddie Prinze Jr.), now a pitcher for Boston College, meets Tenley Parrish (Jessica Biel), the daughter of a wealthy couple who summer on the Cape. Ryan and Tenley fall in love, much to the chagrin of their families, while Ryan clings to one last hope of being discovered and signed to a pro baseball contract.",3.960098,"[{""name"": ""Tollin/Robbins Productions"", ""id"": 2184}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-08-22,19693891,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Are you game?,Summer Catch,4.8,63
300000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",http://disney.go.com/disneypictures/pirates/,285,"[{""id"": 270, ""name"": ""ocean""}, {""id"": 726, ""name"": ""drug abuse""}, {""id"": 911, ""name"": ""exotic island""}, {""id"": 1319, ""name"": ""east india trading company""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 2052, ""name"": ""traitor""}, {""id"": 2580, ""name"": ""shipwreck""}, {""id"": 2660, ""name"": ""strong woman""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 5740, ""name"": ""alliance""}, {""id"": 5941, ""name"": ""calypso""}, {""id"": 6155, ""name"": ""afterlife""}, {""id"": 6211, ""name"": ""fighter""}, {""id"": 12988, ""name"": ""pirate""}, {""id"": 157186, ""name"": ""swashbuckler""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-05-19,961000000,169.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
3500000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}]",http://trolljegeren.no/,46146,"[{""id"": 414, ""name"": ""hunter""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 3593, ""name"": ""wilderness""}, {""id"": 4414, ""name"": ""adventure""}, {""id"": 5774, ""name"": ""forest""}, {""id"": 9679, ""name"": ""secret government organization""}, {""id"": 9721, ""name"": ""hunting trip""}, {""id"": 9902, ""name"": ""wildlife""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 11173, ""name"": ""troll""}, {""id"": 11800, ""name"": ""mockumentary""}, {""id"": 163053, ""name"": ""found footage""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",nb,Trolljegeren,"A group of students investigates a series of mysterious bear killings, but learns that there are much more dangerous things going on. They start to follow a mysterious hunter, learning that he is actually a troll hunter.",12.982319,"[{""name"": ""Filmkameratene A/S"", ""id"": 1003}, {""name"": ""Film Fund FUZZ"", ""id"": 5241}, {""name"": ""SF Norge A/S"", ""id"": 56050}]","[{""iso_3166_1"": ""NO"", ""name"": ""Norway""}]",2010-10-29,4159678,103.0,"[{""iso_639_1"": ""no"", ""name"": ""Norsk""}]",Released,You believe it when you see it!,Troll Hunter,6.7,583
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",,1123,"[{""id"": 796, ""name"": ""police brutality""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 3644, ""name"": ""south africa""}, {""id"": 4106, ""name"": ""apartheid""}, {""id"": 4737, ""name"": ""african national congress""}, {""id"": 6145, ""name"": ""right and justice""}]",en,Catch a Fire,"The true story of anti-apartheid activists in South Africa, and particularly the life of Patrick Chamusso, a timid foreman at Secunda CTL, the largest synthetic fuel plant in the world. Patrick is wrongly accused, imprisoned and tortured for an attempt to bomb the plant, with the injustice transforming the apolitical worker into a radicalised insurgent, who then carries out his own successful sabotage mission.",4.052219,"[{""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Studio Canal"", ""id"": 5870}, {""name"": ""Working Title Films"", ""id"": 10163}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""ZA"", ""name"": ""South Africa""}]",2006-10-27,4291965,101.0,"[{""iso_639_1"": ""af"", ""name"": ""Afrikaans""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zu"", ""name"": ""isiZulu""}]",Released,"The spark that ignites us, unites us.",Catch a Fire,6.4,25
17000000,"[{""id"": 35, ""name"": ""Comedy""}]",,193893,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2334, ""name"": ""nightclub""}, {""id"": 3230, ""name"": ""male friendship""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 6149, ""name"": ""police""}, {""id"": 8508, ""name"": ""party""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 170682, ""name"": ""lying""}, {""id"": 185071, ""name"": ""impersonating a police officer""}, {""id"": 187844, ""name"": ""flashback""}]",en,Let's Be Cops,"It's the ultimate buddy cop movie except for one thing: they're not cops.  When two struggling pals dress as police officers for a costume party, they become neighborhood sensations.  But when these newly-minted “heroes” get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",70.668923,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""WideAwake"", ""id"": 28787}, {""name"": ""Genre Films"", ""id"": 28788}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-08-13,136621271,104.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fake Cops. Real Trouble.,Let's Be Cops,6.4,1219
